Time (s), Velocity (m/s), Acceleration (m/s/s), X (m), Y (m), Rotation (rads), Rotation (deg), Curvature (rads/m)
Time: 2.84 (s),   Velocity: 2.84 (m/s),   Accel:   1.00 (m/s/s),   X:  4.39 (m),   Y:  2.64 (m),   Rot:  0.0478 (rads),   Rot:    2.74 (deg),   Curve:   -0.26 (rads/m)
Time: 2.87 (s),   Velocity: 2.87 (m/s),   Accel:   1.00 (m/s/s),   X:  4.49 (m),   Y:  2.65 (m),   Rot:  0.0207 (rads),   Rot:    1.19 (deg),   Curve:   -0.25 (rads/m)
Time: 2.91 (s),   Velocity: 2.91 (m/s),   Accel:   1.00 (m/s/s),   X:  4.60 (m),   Y:  2.65 (m),   Rot: -0.0062 (rads),   Rot:   -0.35 (deg),   Curve:   -0.25 (rads/m)
Time: 2.94 (s),   Velocity: 2.94 (m/s),   Accel:   1.00 (m/s/s),   X:  4.70 (m),   Y:  2.65 (m),   Rot: -0.0330 (rads),   Rot:   -1.89 (deg),   Curve:   -0.25 (rads/m)
Time: 2.98 (s),   Velocity: 2.98 (m/s),   Accel:   1.00 (m/s/s),   X:  4.81 (m),   Y:  2.64 (m),   Rot: -0.0599 (rads),   Rot:   -3.43 (deg),   Curve:   -0.26 (rads/m)
Time: 3.02 (s),   Velocity: 3.02 (m/s),   Accel:   1.00 (m/s/s),   X:  4.91 (m),   Y:  2.63 (m),   Rot: -0.0871 (rads),   Rot:   -4.99 (deg),   Curve:   -0.26 (rads/m)
Time: 3.05 (s),   Velocity: 3.05 (m/s),   Accel:   1.00 (m/s/s),   X:  5.02 (m),   Y:  2.62 (m),   Rot: -0.1146 (rads),   Rot:   -6.57 (deg),   Curve:   -0.27 (rads/m)
Time: 3.08 (s),   Velocity: 3.08 (m/s),   Accel:   1.00 (m/s/s),   X:  5.12 (m),   Y:  2.61 (m),   Rot: -0.1428 (rads),   Rot:   -8.18 (deg),   Curve:   -0.28 (rads/m)
Time: 3.12 (s),   Velocity: 3.12 (m/s),   Accel:   1.00 (m/s/s),   X:  5.22 (m),   Y:  2.59 (m),   Rot: -0.1717 (rads),   Rot:   -9.84 (deg),   Curve:   -0.29 (rads/m)
Time: 3.15 (s),   Velocity: 3.15 (m/s),   Accel:   1.00 (m/s/s),   X:  5.32 (m),   Y:  2.58 (m),   Rot: -0.2015 (rads),   Rot:  -11.55 (deg),   Curve:   -0.30 (rads/m)
Time: 3.18 (s),   Velocity: 3.18 (m/s),   Accel:   1.00 (m/s/s),   X:  5.41 (m),   Y:  2.55 (m),   Rot: -0.2325 (rads),   Rot:  -13.32 (deg),   Curve:   -0.32 (rads/m)
Time: 3.21 (s),   Velocity: 3.21 (m/s),   Accel:   0.27 (m/s/s),   X:  5.51 (m),   Y:  2.53 (m),   Rot: -0.2648 (rads),   Rot:  -15.17 (deg),   Curve:   -0.34 (rads/m)
Time: 3.24 (s),   Velocity: 3.22 (m/s),   Accel:  -1.00 (m/s/s),   X:  5.60 (m),   Y:  2.50 (m),   Rot: -0.2987 (rads),   Rot:  -17.11 (deg),   Curve:   -0.36 (rads/m)
Time: 3.27 (s),   Velocity: 3.19 (m/s),   Accel:  -1.00 (m/s/s),   X:  5.69 (m),   Y:  2.47 (m),   Rot: -0.3344 (rads),   Rot:  -19.16 (deg),   Curve:   -0.39 (rads/m)
Time: 3.30 (s),   Velocity: 3.16 (m/s),   Accel:  -1.00 (m/s/s),   X:  5.78 (m),   Y:  2.44 (m),   Rot: -0.3723 (rads),   Rot:  -21.33 (deg),   Curve:   -0.42 (rads/m)
Time: 3.33 (s),   Velocity: 3.13 (m/s),   Accel:  -1.00 (m/s/s),   X:  5.86 (m),   Y:  2.41 (m),   Rot: -0.4127 (rads),   Rot:  -23.65 (deg),   Curve:   -0.46 (rads/m)
Time: 3.36 (s),   Velocity: 3.10 (m/s),   Accel:  -1.00 (m/s/s),   X:  5.95 (m),   Y:  2.37 (m),   Rot: -0.4559 (rads),   Rot:  -26.12 (deg),   Curve:   -0.51 (rads/m)
Time: 3.39 (s),   Velocity: 3.07 (m/s),   Accel:  -1.00 (m/s/s),   X:  6.02 (m),   Y:  2.33 (m),   Rot: -0.5022 (rads),   Rot:  -28.78 (deg),   Curve:   -0.56 (rads/m)
Time: 3.41 (s),   Velocity: 3.05 (m/s),   Accel:  -1.00 (m/s/s),   X:  6.10 (m),   Y:  2.29 (m),   Rot: -0.5522 (rads),   Rot:  -31.64 (deg),   Curve:   -0.62 (rads/m)
Time: 3.44 (s),   Velocity: 3.02 (m/s),   Accel:  -1.00 (m/s/s),   X:  6.17 (m),   Y:  2.24 (m),   Rot: -0.6036 (rads),   Rot:  -34.59 (deg),   Curve:   -0.62 (rads/m)
Time: 3.47 (s),   Velocity: 2.99 (m/s),   Accel:  -1.00 (m/s/s),   X:  6.23 (m),   Y:  2.19 (m),   Rot: -0.6538 (rads),   Rot:  -37.46 (deg),   Curve:   -0.62 (rads/m)
Time: 3.49 (s),   Velocity: 2.97 (m/s),   Accel:  -1.00 (m/s/s),   X:  6.29 (m),   Y:  2.14 (m),   Rot: -0.7023 (rads),   Rot:  -40.24 (deg),   Curve:   -0.61 (rads/m)
Time: 3.52 (s),   Velocity: 2.94 (m/s),   Accel:  -1.00 (m/s/s),   X:  6.35 (m),   Y:  2.09 (m),   Rot: -0.7488 (rads),   Rot:  -42.90 (deg),   Curve:   -0.59 (rads/m)
Time: 3.55 (s),   Velocity: 2.91 (m/s),   Accel:  -1.00 (m/s/s),   X:  6.41 (m),   Y:  2.04 (m),   Rot: -0.7929 (rads),   Rot:  -45.43 (deg),   Curve:   -0.56 (rads/m)
Time: 3.57 (s),   Velocity: 2.89 (m/s),   Accel:  -1.00 (m/s/s),   X:  6.46 (m),   Y:  1.98 (m),   Rot: -0.8344 (rads),   Rot:  -47.81 (deg),   Curve:   -0.54 (rads/m)
