Time (s), Velocity (m/s), Acceleration (m/s/s), X (m), Y (m), Rotation (rads), Rotation (deg), Curvature (rads/m)
Time: 2.43 (s),   Velocity: 2.84 (m/s),   Accel:  -3.00 (m/s/s),   X:  4.24 (m),   Y:  3.04 (m),   Rot:  1.3575 (rads),   Rot:   77.78 (deg),   Curve:   -0.70 (rads/m)
Time: 2.46 (s),   Velocity: 2.75 (m/s),   Accel:  -3.00 (m/s/s),   X:  4.26 (m),   Y:  3.12 (m),   Rot:  1.2869 (rads),   Rot:   73.74 (deg),   Curve:   -1.06 (rads/m)
Time: 2.49 (s),   Velocity: 2.68 (m/s),   Accel:  -3.00 (m/s/s),   X:  4.28 (m),   Y:  3.18 (m),   Rot:  1.2101 (rads),   Rot:   69.33 (deg),   Curve:   -1.30 (rads/m)
Time: 2.51 (s),   Velocity: 2.62 (m/s),   Accel:  -3.00 (m/s/s),   X:  4.30 (m),   Y:  3.22 (m),   Rot:  1.1476 (rads),   Rot:   65.75 (deg),   Curve:   -0.93 (rads/m)
Time: 2.52 (s),   Velocity: 2.57 (m/s),   Accel:  -3.00 (m/s/s),   X:  4.32 (m),   Y:  3.27 (m),   Rot:  1.1311 (rads),   Rot:   64.81 (deg),   Curve:    0.35 (rads/m)
Time: 2.54 (s),   Velocity: 2.52 (m/s),   Accel:  -3.00 (m/s/s),   X:  4.33 (m),   Y:  3.31 (m),   Rot:  1.1786 (rads),   Rot:   67.53 (deg),   Curve:    1.70 (rads/m)
Time: 2.55 (s),   Velocity: 2.49 (m/s),   Accel:  -3.00 (m/s/s),   X:  4.34 (m),   Y:  3.33 (m),   Rot:  1.2218 (rads),   Rot:   70.00 (deg),   Curve:    2.00 (rads/m)
Time: 2.56 (s),   Velocity: 2.46 (m/s),   Accel:  -3.00 (m/s/s),   X:  4.35 (m),   Y:  3.35 (m),   Rot:  1.2717 (rads),   Rot:   72.86 (deg),   Curve:    2.01 (rads/m)
Time: 2.58 (s),   Velocity: 2.39 (m/s),   Accel:  -3.00 (m/s/s),   X:  4.36 (m),   Y:  3.40 (m),   Rot:  1.3363 (rads),   Rot:   76.56 (deg),   Curve:    0.55 (rads/m)
Time: 2.61 (s),   Velocity: 2.31 (m/s),   Accel:  -3.00 (m/s/s),   X:  4.38 (m),   Y:  3.46 (m),   Rot:  1.3454 (rads),   Rot:   77.08 (deg),   Curve:   -0.19 (rads/m)
Time: 2.64 (s),   Velocity: 2.22 (m/s),   Accel:  -3.00 (m/s/s),   X:  4.39 (m),   Y:  3.53 (m),   Rot:  1.3138 (rads),   Rot:   75.28 (deg),   Curve:   -0.74 (rads/m)
Time: 2.67 (s),   Velocity: 2.13 (m/s),   Accel:  -3.00 (m/s/s),   X:  4.41 (m),   Y:  3.60 (m),   Rot:  1.2442 (rads),   Rot:   71.29 (deg),   Curve:   -1.29 (rads/m)
