Time (s), Velocity (m/s), Acceleration (m/s/s), X (m), Y (m), Rotation (rads), Rotation (deg), Curvature (rads/m)
Time: 2.93 (s),   Velocity: 4.06 (m/s),   Accel:  -3.00 (m/s/s),   X:  6.25 (m),   Y:  3.21 (m),   Rot:  0.0142 (rads),   Rot:    0.82 (deg),   Curve:   -0.21 (rads/m)
Time: 2.96 (s),   Velocity: 3.98 (m/s),   Accel:  -3.00 (m/s/s),   X:  6.36 (m),   Y:  3.21 (m),   Rot: -0.0066 (rads),   Rot:   -0.38 (deg),   Curve:   -0.18 (rads/m)
Time: 2.98 (s),   Velocity: 3.90 (m/s),   Accel:  -3.00 (m/s/s),   X:  6.47 (m),   Y:  3.21 (m),   Rot: -0.0248 (rads),   Rot:   -1.42 (deg),   Curve:   -0.15 (rads/m)
Time: 3.01 (s),   Velocity: 3.81 (m/s),   Accel:  -3.00 (m/s/s),   X:  6.58 (m),   Y:  3.21 (m),   Rot: -0.0404 (rads),   Rot:   -2.32 (deg),   Curve:   -0.13 (rads/m)
Time: 3.04 (s),   Velocity: 3.72 (m/s),   Accel:  -3.00 (m/s/s),   X:  6.69 (m),   Y:  3.20 (m),   Rot: -0.0537 (rads),   Rot:   -3.08 (deg),   Curve:   -0.11 (rads/m)
Time: 3.07 (s),   Velocity: 3.63 (m/s),   Accel:  -3.00 (m/s/s),   X:  6.81 (m),   Y:  3.20 (m),   Rot: -0.0648 (rads),   Rot:   -3.71 (deg),   Curve:   -0.09 (rads/m)
Time: 3.11 (s),   Velocity: 3.53 (m/s),   Accel:  -3.00 (m/s/s),   X:  6.93 (m),   Y:  3.19 (m),   Rot: -0.0738 (rads),   Rot:   -4.23 (deg),   Curve:   -0.07 (rads/m)
Time: 3.14 (s),   Velocity: 3.43 (m/s),   Accel:  -3.00 (m/s/s),   X:  7.04 (m),   Y:  3.18 (m),   Rot: -0.0808 (rads),   Rot:   -4.63 (deg),   Curve:   -0.05 (rads/m)
Time: 3.18 (s),   Velocity: 3.32 (m/s),   Accel:  -3.00 (m/s/s),   X:  7.17 (m),   Y:  3.17 (m),   Rot: -0.0861 (rads),   Rot:   -4.93 (deg),   Curve:   -0.04 (rads/m)
Time: 3.22 (s),   Velocity: 3.21 (m/s),   Accel:  -3.00 (m/s/s),   X:  7.29 (m),   Y:  3.16 (m),   Rot: -0.0896 (rads),   Rot:   -5.13 (deg),   Curve:   -0.02 (rads/m)
