Time (s), Velocity (m/s), Acceleration (m/s/s), X (m), Y (m), Rotation (rads), Rotation (deg), Curvature (rads/m)
Time: 1.98 (s),   Velocity: 4.07 (m/s),   Accel:  10.00 (m/s/s),   X:  1.55 (m),   Y: -1.00 (m),   Rot: -1.2384 (rads),   Rot:  -70.96 (deg),   Curve:   -0.11 (rads/m)
Time: 1.99 (s),   Velocity: 4.25 (m/s),   Accel:  10.00 (m/s/s),   X:  1.57 (m),   Y: -1.07 (m),   Rot: -1.2457 (rads),   Rot:  -71.38 (deg),   Curve:   -0.09 (rads/m)
Time: 2.01 (s),   Velocity: 4.42 (m/s),   Accel:   2.83 (m/s/s),   X:  1.60 (m),   Y: -1.14 (m),   Rot: -1.2520 (rads),   Rot:  -71.73 (deg),   Curve:   -0.08 (rads/m)
Time: 2.03 (s),   Velocity: 4.47 (m/s),   Accel:   1.11 (m/s/s),   X:  1.62 (m),   Y: -1.21 (m),   Rot: -1.2572 (rads),   Rot:  -72.03 (deg),   Curve:   -0.06 (rads/m)
Time: 2.04 (s),   Velocity: 4.49 (m/s),   Accel:  -9.76 (m/s/s),   X:  1.64 (m),   Y: -1.28 (m),   Rot: -1.2616 (rads),   Rot:  -72.28 (deg),   Curve:   -0.05 (rads/m)
Time: 2.06 (s),   Velocity: 4.32 (m/s),   Accel: -10.00 (m/s/s),   X:  1.67 (m),   Y: -1.35 (m),   Rot: -1.2651 (rads),   Rot:  -72.48 (deg),   Curve:   -0.04 (rads/m)
Time: 2.08 (s),   Velocity: 4.14 (m/s),   Accel: -10.00 (m/s/s),   X:  1.69 (m),   Y: -1.43 (m),   Rot: -1.2678 (rads),   Rot:  -72.64 (deg),   Curve:   -0.03 (rads/m)
Time: 2.10 (s),   Velocity: 3.96 (m/s),   Accel: -10.00 (m/s/s),   X:  1.71 (m),   Y: -1.50 (m),   Rot: -1.2697 (rads),   Rot:  -72.75 (deg),   Curve:   -0.02 (rads/m)
Time: 2.12 (s),   Velocity: 3.77 (m/s),   Accel: -10.00 (m/s/s),   X:  1.73 (m),   Y: -1.57 (m),   Rot: -1.2708 (rads),   Rot:  -72.81 (deg),   Curve:   -0.01 (rads/m)
Time: 2.14 (s),   Velocity: 3.58 (m/s),   Accel: -10.00 (m/s/s),   X:  1.75 (m),   Y: -1.63 (m),   Rot: -1.2711 (rads),   Rot:  -72.83 (deg),   Curve:    0.00 (rads/m)
Time: 2.16 (s),   Velocity: 3.38 (m/s),   Accel: -10.00 (m/s/s),   X:  1.77 (m),   Y: -1.70 (m),   Rot: -1.2706 (rads),   Rot:  -72.80 (deg),   Curve:    0.01 (rads/m)
