Time (s), Velocity (m/s), Acceleration (m/s/s), X (m), Y (m), Rotation (rads), Rotation (deg), Curvature (rads/m)
Time: 3.36 (s),   Velocity: 3.58 (m/s),   Accel:  -3.00 (m/s/s),   X:  7.04 (m),   Y:  1.92 (m),   Rot: -0.6453 (rads),   Rot:  -36.97 (deg),   Curve:    0.06 (rads/m)
Time: 3.39 (s),   Velocity: 3.50 (m/s),   Accel:  -3.00 (m/s/s),   X:  7.12 (m),   Y:  1.86 (m),   Rot: -0.6380 (rads),   Rot:  -36.56 (deg),   Curve:    0.08 (rads/m)
Time: 3.41 (s),   Velocity: 3.41 (m/s),   Accel:  -3.00 (m/s/s),   X:  7.19 (m),   Y:  1.81 (m),   Rot: -0.6290 (rads),   Rot:  -36.04 (deg),   Curve:    0.10 (rads/m)
Time: 3.44 (s),   Velocity: 3.33 (m/s),   Accel:  -3.00 (m/s/s),   X:  7.27 (m),   Y:  1.75 (m),   Rot: -0.6179 (rads),   Rot:  -35.40 (deg),   Curve:    0.13 (rads/m)
Time: 3.47 (s),   Velocity: 3.25 (m/s),   Accel:  -3.00 (m/s/s),   X:  7.35 (m),   Y:  1.70 (m),   Rot: -0.6043 (rads),   Rot:  -34.63 (deg),   Curve:    0.17 (rads/m)
Time: 3.50 (s),   Velocity: 3.16 (m/s),   Accel:  -3.00 (m/s/s),   X:  7.42 (m),   Y:  1.65 (m),   Rot: -0.5880 (rads),   Rot:  -33.69 (deg),   Curve:    0.21 (rads/m)
Time: 3.52 (s),   Velocity: 3.08 (m/s),   Accel:  -3.00 (m/s/s),   X:  7.49 (m),   Y:  1.60 (m),   Rot: -0.5681 (rads),   Rot:  -32.55 (deg),   Curve:    0.27 (rads/m)
Time: 3.55 (s),   Velocity: 3.00 (m/s),   Accel:  -3.00 (m/s/s),   X:  7.56 (m),   Y:  1.56 (m),   Rot: -0.5440 (rads),   Rot:  -31.17 (deg),   Curve:    0.34 (rads/m)
Time: 3.57 (s),   Velocity: 2.93 (m/s),   Accel:  -3.00 (m/s/s),   X:  7.62 (m),   Y:  1.52 (m),   Rot: -0.5144 (rads),   Rot:  -29.47 (deg),   Curve:    0.45 (rads/m)
Time: 3.60 (s),   Velocity: 2.86 (m/s),   Accel:  -3.00 (m/s/s),   X:  7.68 (m),   Y:  1.49 (m),   Rot: -0.4801 (rads),   Rot:  -27.50 (deg),   Curve:    0.53 (rads/m)
Time: 3.62 (s),   Velocity: 2.79 (m/s),   Accel:  -3.00 (m/s/s),   X:  7.74 (m),   Y:  1.46 (m),   Rot: -0.4425 (rads),   Rot:  -25.35 (deg),   Curve:    0.62 (rads/m)
Time: 3.67 (s),   Velocity: 2.65 (m/s),   Accel:  -3.00 (m/s/s),   X:  7.85 (m),   Y:  1.41 (m),   Rot: -0.3574 (rads),   Rot:  -20.48 (deg),   Curve:    0.82 (rads/m)
Time: 3.69 (s),   Velocity: 2.59 (m/s),   Accel:  -3.00 (m/s/s),   X:  7.90 (m),   Y:  1.40 (m),   Rot: -0.3099 (rads),   Rot:  -17.76 (deg),   Curve:    0.94 (rads/m)
